title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg),total_time,time_score_norm,health_score_norm
Goan prawn & coconut curry with cumin rice,15,15,66,Indian,seafood,shrimp,0,0,0,0,1,0,816.34,20.41,12.38,121.94,113.54,7.0,161.0,313.21,33.01,61.88,1.02,15.55,491.43,1.67,1609.84,1.75,140.19,0.2,4.16,8.41,3.35,0.31,0.95,5.16,0.0,82.59,194.9,678.57,194.0,2360.8,0.0,30,96.0,66.0
One Pot Curry Chicken and Rice,10,20,18,Indian,chicken,chicken breast,1,0,0,0,0,0,518.82,20.72,12.04,40.45,39.35,1.1,111.21,1228.02,41.49,19.15,1.38,62.15,474.58,2.99,851.4,1.08,87.38,0.27,1.36,1.1,1.96,0.18,0.31,3.4,0.36,4.46,45.65,20.74,2.78,69.86,0.17,30,96.0,18.0
Penang prawn & pineapple curry,25,40,22,Indian,seafood,shrimp,0,0,0,0,1,0,378.77,27.65,14.1,29.22,24.61,17.26,48.3,51.62,9.13,11.24,0.26,2.25,162.08,0.44,499.21,2.14,66.53,0.06,5.55,4.62,1.18,0.16,0.45,3.37,0.0,3.38,79.42,142.43,75.26,115.01,0.0,65,90.0,22.0
Creamy chicken & mango curry,10,60,25,Indian,chicken,chicken thighs,1,0,0,0,0,0,494.68,21.35,8.16,24.8,21.93,14.07,217.74,407.81,47.78,14.92,1.24,54.1,481.74,2.93,931.7,0.25,77.79,0.53,3.07,2.87,3.83,0.29,0.32,3.45,1.45,10.21,71.01,53.25,30.49,3175.6,0.0,70,90.0,25.0
One Pan Chicken Meatballs in Pumpkin Curry Sauce,15,30,23,Indian,chicken,ground chicken,1,0,0,0,0,0,596.37,27.82,12.02,58.1,51.88,8.06,145.11,774.0,28.05,9.28,0.94,19.05,376.77,2.07,1053.02,1.25,91.75,0.46,2.74,6.22,2.99,0.3,0.3,3.7,0.73,39.04,69.41,61.42,51.47,11474.09,0.22,45,94.0,23.0
Thai Green Curry with Chicken,5,30,22,Indian,chicken,chicken thighs,1,0,0,0,0,0,422.28,29.38,22.22,19.2,14.56,6.07,107.73,535.07,26.79,8.24,0.91,27.14,373.25,1.93,911.8,1.18,112.36,0.33,1.28,4.63,2.81,0.24,0.43,6.46,0.73,48.22,95.99,67.81,91.53,1876.64,0.0,35,95.0,22.0
Creamy Coconut Curry with Shrimp and Corn,10,15,8,Indian,seafood,shrimp,0,0,0,0,1,0,308.25,22.02,18.63,11.04,10.07,2.81,146.53,446.41,21.56,1.36,0.09,0.0,315.8,0.44,565.65,0.8,87.58,0.04,0.2,0.97,1.93,0.09,0.58,3.67,0.0,5.65,80.72,31.13,9.95,212.36,0.0,25,97.0,8.0
Lamb masala meatball curry,20,30,20,Indian,lamb,ground lamb,0,0,1,0,0,0,503.6,38.12,19.57,21.43,14.74,7.98,74.27,331.0,20.98,7.46,0.4,22.71,244.82,1.11,703.77,0.83,66.7,0.3,2.05,6.69,4.17,0.22,0.45,4.02,2.33,12.97,94.21,38.77,15.92,229.91,0.0,50,93.0,20.0
Pork vindaloo,15,55,42,Indian,pork,pork shoulder,0,0,0,1,0,0,367.45,13.28,4.25,25.63,21.59,5.86,104.7,302.28,34.61,8.14,0.89,49.44,384.0,1.49,863.54,1.29,64.33,0.6,0.9,4.03,5.56,1.43,0.3,3.84,1.28,7.76,88.76,27.82,9.57,947.58,0.0,70,90.0,42.0
Instant Pot Coconut Curry Chicken,10,20,18,Indian,chicken,chicken thighs,1,0,0,0,0,0,485.33,31.49,20.57,16.4,14.54,1.64,161.59,753.47,36.29,10.56,0.95,40.95,443.14,2.38,768.76,1.17,102.34,0.35,1.65,1.87,3.48,0.21,0.38,6.22,1.09,27.05,76.72,38.34,27.09,718.76,0.0,30,96.0,18.0
Salmon Coconut Curry with Spinach and Chickpeas,5,20,100,Indian,seafood,salmon fillets,0,0,0,0,1,0,462.61,21.8,8.83,23.13,16.84,1.56,93.55,774.53,40.68,13.98,2.08,65.18,459.37,3.23,1275.68,1.35,113.81,0.75,1.26,6.29,2.13,0.47,0.67,4.08,5.41,175.0,106.99,145.2,28.4,3522.64,0.0,25,97.0,100.0
French bean & duck Thai curry,20,105,60,Thai,other,duck breast,0,0,0,0,0,1,656.38,33.7,24.31,41.56,38.23,9.1,130.51,836.13,48.81,7.67,1.15,41.13,540.15,1.6,1358.69,0.98,207.5,0.58,0.29,3.33,1.93,0.97,1.26,14.87,22.08,5.03,164.59,36.03,37.29,3816.85,0.0,125,81.0,60.0
How to Make Pakistani Beef Kofta Curry,20,30,10,Indian,beef,ground chuck,0,0,0,0,0,1,398.68,31.01,8.24,12.24,9.68,6.25,64.47,275.61,17.74,4.12,0.46,14.12,234.33,0.72,536.05,0.23,40.34,0.22,2.93,2.56,4.05,0.11,0.17,2.48,1.93,18.39,146.38,42.17,32.25,572.01,0.0,50,93.0,10.0
Cashew curry,20,60,44,Indian,chicken,chicken breast,1,0,0,0,0,0,626.3,31.54,12.24,36.79,30.69,14.52,112.22,769.26,52.8,21.42,1.77,67.46,721.44,3.21,1597.65,1.01,189.62,0.57,2.37,6.11,3.92,0.45,1.17,5.51,0.69,23.88,152.39,69.4,37.49,1019.95,0.18,80,88.0,44.0
One-Skillet Chicken Green Curry with Rice,15,30,34,Indian,chicken,chicken thighs,1,0,0,0,0,0,589.71,34.8,20.62,49.77,43.34,7.05,89.84,564.54,24.24,7.13,0.82,26.01,390.58,2.44,1131.53,1.54,110.26,0.4,1.96,6.44,2.88,0.27,0.45,5.34,0.59,144.57,131.81,125.77,154.32,9948.14,0.0,45,94.0,34.0
Yellow Coconut Curry Chicken,15,25,17,Indian,chicken,chicken breast,1,0,0,0,0,0,358.24,19.96,13.54,26.04,22.9,5.55,48.38,245.2,22.22,11.11,0.95,25.32,322.64,1.49,989.27,0.84,82.17,0.17,1.46,3.14,1.36,0.16,0.35,4.49,0.27,10.32,64.36,35.15,9.08,5740.8,0.0,40,94.0,17.0
"Quick prawn, coconut & tomato curry",10,20,8,Indian,seafood,shrimp,0,0,0,0,1,0,275.88,18.9,16.05,9.38,6.9,2.97,140.88,344.96,20.08,0.56,0.08,0.0,261.29,0.2,459.86,0.76,48.93,0.0,0.0,2.48,1.74,0.03,0.56,2.06,0.0,0.0,87.16,17.4,6.64,1898.75,0.0,30,96.0,8.0
30-Minute Chicken Green Curry,10,20,68,Indian,chicken,chicken breast,1,0,0,0,0,0,402.16,26.52,21.06,32.57,21.54,9.8,18.08,195.65,18.29,6.61,0.97,17.67,408.27,2.57,1587.27,1.65,141.36,0.46,3.5,11.03,2.45,0.33,0.53,6.87,0.0,337.88,224.24,239.78,316.25,13274.84,0.0,30,96.0,68.0
Turkey Meatball Curry,15,30,14,Indian,other,ground turkey,0,0,0,0,0,1,497.76,34.7,23.06,19.86,16.6,8.31,103.29,673.12,31.1,12.0,1.12,35.09,394.28,1.44,709.88,1.13,77.95,0.26,0.62,3.26,2.96,0.13,0.36,3.23,0.68,13.38,54.75,43.8,25.41,1795.03,0.67,45,94.0,14.000000000000002
"Thai prawn, squash & pineapple curry",25,22,19,Indian,seafood,shrimp,0,0,0,0,1,0,390.97,24.28,19.81,27.42,21.68,15.49,122.27,663.7,20.98,2.74,0.31,8.0,304.7,0.52,871.3,1.09,107.49,0.09,1.56,5.74,2.18,0.18,0.73,3.5,0.0,5.52,151.13,44.79,25.9,11996.51,0.0,47,93.0,19.0
