,title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg)
0,Goan prawn & coconut curry with cumin rice,15,15,66,Indian,seafood,shrimp,0,0,0,0,1,0,816.34,20.41,12.38,121.94,113.54,7,161,313.21,33.01,61.88,1.02,15.55,491.43,1.67,1609.84,1.75,140.19,0.2,4.16,8.41,3.35,0.31,0.95,5.16,0,82.59,194.9,678.57,194,2360.8,0
1,Slow Cooker Red Lentil & Chickpea Curry,15,480,44,Indian,,,0,0,0,0,0,0,338.97,6.5,4.68,54.73,37.54,5.58,0,963.58,15.37,2.34,0.86,5.34,291.02,1.22,883.4,1.35,91.78,0.15,0.44,17.19,2.68,0.46,0.43,4.66,0,10.34,77.06,210.57,30.45,405.83,0
2,One Pot Curry Chicken and Rice,10,20,18,Indian,chicken,chicken breast,1,0,0,0,0,0,518.82,20.72,12.04,40.45,39.35,1.1,111.21,1228.02,41.49,19.15,1.38,62.15,474.58,2.99,851.4,1.08,87.38,0.27,1.36,1.1,1.96,0.18,0.31,3.4,0.36,4.46,45.65,20.74,2.78,69.86,0.17
3,Penang prawn & pineapple curry,25,40,22,Indian,seafood,shrimp,0,0,0,0,1,0,378.77,27.65,14.1,29.22,24.61,17.26,48.3,51.62,9.13,11.24,0.26,2.25,162.08,0.44,499.21,2.14,66.53,0.06,5.55,4.62,1.18,0.16,0.45,3.37,0,3.38,79.42,142.43,75.26,115.01,0
4,Creamy chicken & mango curry,10,60,25,Indian,chicken,chicken thighs,1,0,0,0,0,0,494.68,21.35,8.16,24.8,21.93,14.07,217.74,407.81,47.78,14.92,1.24,54.1,481.74,2.93,931.7,0.25,77.79,0.53,3.07,2.87,3.83,0.29,0.32,3.45,1.45,10.21,71.01,53.25,30.49,3175.6,0
5,Homemade Thai Yellow Curry Paste,-1,-1,7,Indian,,,0,0,0,0,0,0,90.2,0.68,0.11,19.76,17.04,6.16,0,1175.48,2.64,0.43,0.41,4.3,68.38,0.24,281.97,0.85,23.79,0.05,0.55,2.73,0.63,0.08,0.14,2.15,0,5.85,78.94,16.31,19.19,118.19,0
6,Quick Curry Powder from Scratch,5,0,47,Indian,,,0,0,0,0,0,0,66.59,2.97,0.34,12.22,5.77,0.31,0,26.92,2.5,0.74,0.12,3.3,71.92,0,337.35,1.42,57.31,0.06,0.64,6.45,0.91,0.05,0.19,5.78,0,5.52,121.52,0,3.4,348.26,0
7,One Pan Chicken Meatballs in Pumpkin Curry Sauce,15,30,23,Indian,chicken,ground chicken,1,0,0,0,0,0,596.37,27.82,12.02,58.1,51.88,8.06,145.11,774,28.05,9.28,0.94,19.05,376.77,2.07,1053.02,1.25,91.75,0.46,2.74,6.22,2.99,0.3,0.3,3.7,0.73,39.04,69.41,61.42,51.47,11474.09,0.22
8,Curry Pizza with Veggies,10,8,12,Indian,,,0,0,0,0,0,0,755.92,22.02,11.98,107.54,101.53,8.34,44.24,1708.57,32.84,1.02,0.23,10.98,255.88,0.61,444.94,0.26,35.46,0.25,1.41,6.01,2.04,0.08,0.12,6.87,1.28,31.24,501.53,47.16,39.7,796.17,0.22
9,Overnight Curried Chicken with Brown Rice,30,85,18,,chicken,chicken thighs,1,0,0,0,0,0,333.61,10.74,2.94,31.63,29.62,1.65,107.73,282.18,26.46,9.07,0.77,25.84,339.08,1.97,504.9,1.44,82.19,0.26,0.96,2.01,2.61,0.27,0.22,2.03,0.8,12.54,38.72,23.54,21.23,1115.11,0
10,Lentil Curry,20,60,28,Indian,,,0,0,0,0,0,0,435.47,25.23,17.23,43.56,26.49,10.52,0,734.46,14.37,2.89,0.5,9.98,311.41,1.31,976.14,1.78,108.86,0.16,2.43,17.08,2.86,0.46,0.63,6.52,0,12.33,103.14,218.01,17.05,790.87,0
11,Curried kale & chickpea soup,10,25,82,,,,0,0,0,0,0,0,445.18,13.18,6.89,71.48,51.86,10.17,0,1710.41,16.08,2.31,1.5,7.41,313.68,1.64,1205.17,2.98,140.61,0.42,2.37,19.62,2.57,0.3,0.63,8.39,0,320.83,383.66,134.54,93.41,22843.56,0
12,Curry Chicken Salad,15,0,32,Indian,chicken,chicken breast,1,0,0,0,0,0,461.9,25.72,3.4,18.57,16.53,12.28,96.39,352.26,38.13,15.96,0.82,32.31,331.45,1.24,519.72,0.62,64.69,0.19,0.57,2.05,1.7,0.14,0.35,2.09,0.39,23.45,52.29,30.82,2.69,184.47,0
13,Thai Green Curry with Chicken,5,30,22,Indian,chicken,chicken thighs,1,0,0,0,0,0,422.28,29.38,22.22,19.2,14.56,6.07,107.73,535.07,26.79,8.24,0.91,27.14,373.25,1.93,911.8,1.18,112.36,0.33,1.28,4.63,2.81,0.24,0.43,6.46,0.73,48.22,95.99,67.81,91.53,1876.64,0
14,Summer Veggie Curry,5,15,20,Indian,,,0,0,0,0,0,0,428.01,28.83,24.26,40.55,34.11,10.7,0,289.07,7.47,3.07,0.55,6.9,251.59,0.92,823.06,2.35,113.93,0.22,0.47,6.44,1.86,0.22,0.46,3.16,0,6.46,72.22,67.86,35.7,1582.86,0
15,Thai Panang Curry w/ Tender Beef Short Ribs,10,0,10,Indian,seafood,belacan,0,0,0,0,1,0,471.82,38.25,21.38,11.66,9.89,4.12,87.6,622.36,22.72,5.92,0.52,17.74,271.82,0.81,582.33,0.79,68.92,0.2,1.11,1.78,5.26,0.1,0.31,5.49,2.36,10.98,78.98,33.7,19.58,629.48,0
16,Jerk sweet potato & black bean curry,50,45,25,Indian,,,0,0,0,0,0,0,170.18,3.71,0.41,32.84,27.16,10.76,0,901.56,3.34,1.65,0.44,1.64,85.57,0.99,629.33,0.5,47.34,0.13,2.84,5.68,0.66,0.14,0.33,2.1,0,8.06,78.73,29.46,29.82,15234.4,0
17,Curried Chickpeas and Vegetables,-1,-1,74,,chicken,whole chicken,1,0,0,0,0,0,504.33,11.63,1.24,88.76,69.24,10.85,1.13,206.37,18.23,5.62,1.13,8.5,387.08,1.33,1792.44,3.17,162.66,0.28,3.96,19.52,3.09,0.48,0.93,9.31,0,23.08,185.79,227.8,64.1,4906.14,0
18,Creamy Curry Chicken With Yellow Rice,-1,-1,8,Indian,,,0,0,0,0,0,0,347.6,30.21,19.2,20.52,17.41,9.7,0,189.85,4.37,1.77,0.25,1.39,144.07,0.45,578.86,1.09,72.9,0.07,2.43,3.11,0.97,0.12,0.41,5.45,0,11.1,78.68,34.47,14.44,205.53,0
19,Cozy Cauliflower Curry,20,25,10,Indian,,,0,0,0,0,0,0,197.18,15.08,11.62,15.68,10.91,7.35,0,596.45,4.12,1.53,0.29,4.76,115.55,0.76,572.76,0.94,47.95,0.08,1.4,4.76,0.82,0.11,0.29,2.46,0,18.24,60.37,62.59,43.41,418.98,0
20,Creamy Coconut Curry with Shrimp and Corn,10,15,8,Indian,seafood,shrimp,0,0,0,0,1,0,308.25,22.02,18.63,11.04,10.07,2.81,146.53,446.41,21.56,1.36,0.09,0,315.8,0.44,565.65,0.8,87.58,0.04,0.2,0.97,1.93,0.09,0.58,3.67,0,5.65,80.72,31.13,9.95,212.36,0
21,Lamb masala meatball curry,20,30,20,Indian,lamb,ground lamb,0,0,1,0,0,0,503.6,38.12,19.57,21.43,14.74,7.98,74.27,331,20.98,7.46,0.4,22.71,244.82,1.11,703.77,0.83,66.7,0.3,2.05,6.69,4.17,0.22,0.45,4.02,2.33,12.97,94.21,38.77,15.92,229.91,0
22,Pork vindaloo,15,55,42,Indian,pork,pork shoulder,0,0,0,1,0,0,367.45,13.28,4.25,25.63,21.59,5.86,104.7,302.28,34.61,8.14,0.89,49.44,384,1.49,863.54,1.29,64.33,0.6,0.9,4.03,5.56,1.43,0.3,3.84,1.28,7.76,88.76,27.82,9.57,947.58,0
23,"Vietnamese Chickpea, Sweet Potato, and Lemongrass Curry",-1,-1,30,Vietnamese,,,0,0,0,0,0,0,401.15,20.63,16.11,48.2,38.03,8.76,0,100.81,10.67,1.54,0.38,4.12,262.76,1.12,808.94,2.01,104.14,0.13,1.01,10.17,2.15,0.2,0.62,6.2,0,7.5,99.08,171.57,5.83,13452.07,0
